depa_nombre;muni_nombre;habi_codigo_habilitacion;nombre_prestador;codigo_habilitacion;numero_sede;sede_nombre;nits_nit;dv;clase_persona;naju_codigo;naju_nombre;clpr_codigo;clpr_nombre;ese;nivel;caracter;habilitado;grupo_capacidad;coca_codigo;coca_nombre;cantidad;numero_sede_principal;numero_placa;modalidad;modelo;numero_tarjeta;fecha_corte_REPS;gerente;direccion;email;telefono
Antioquia;MEDELLÍN;0500101150;FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;0500101150;01;FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;890981374;7;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;8;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;MARTA ELENA JIMENEZ JARAMILLO;CALLE 55 N° 46-36;;;
Antioquia;MEDELLÍN;0500102092;COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN;0500102092;01;CLINICA EL ROSARIO SEDE CENTRO;890905843;6;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;6;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;SERGIO ALEJANDRO TORRES ARISMENDI;CRA 41 # 62-5;;;
Antioquia;MEDELLÍN;0500102092;COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN;0500102092;02;CLINICA EL ROSARIO SEDE EL TESORO;890905843;6;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;14;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;SERGIO ALEJANDRO TORRES ARISMENDI;KR 20 # 2 SUR 185;clinicaelrosario@clinicaelrosario.com;5743269100;
Antioquia;MEDELLÍN;0500102101;SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA;0500102101;01;SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA;890903777;9;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;9;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;LUIS FERNANDO BRAVO MÚNERA;CALLE 51 N° 45-93;calidad@soma.com.co;;
Antioquia;MEDELLÍN;0500102104;HOSPITAL PABLO TOBON URIBE;0500102104;01;HOSPITAL PABLO TOBON URIBE;890901826;2;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;77;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;ANDRES AGUIRRE MARTINEZ;CALLE 78B N° 69-240;;;
Antioquia;MEDELLÍN;0500102110;CENTRO CARDIOVASCULAR COLOMBIANO CLINICA SANTA MARIA;0500102110;01;CLINICA CARDIO VID;811046900;4;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;16;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Carlos Alberto Lozano Muñeton;CALLE 78B N° 75-21;secdirgral@vid.org.co;3227090;
Antioquia;MEDELLÍN;0500102120;INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS;0500102120;01;INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS;800044402;9;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;7;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JUAN CARLOS POSADA TOBÓN;CALLE 2 SUR N° 46-55;clinicalasvegas@clinicalasvegas.com;3159000;
Antioquia;MEDELLÍN;0500102124;CORPORACION PARA ESTUDIOS EN SALUD CLINICA CES;0500102124;01;CORPORACIÓN PARA ESTUDIOS EN SALUD CLINICA CES;890982608;1;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;10;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;MAURICIO JARAMILLO MERINO;CL 58 # 50 C- 2;;;
Antioquia;MEDELLÍN;0500102126;PROMOTORA MEDICA LAS AMERICAS S.A;0500102126;01;CLÍNICA LAS AMERICAS;800067065;9;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;23;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JUAN GABRIEL CENDALES REY;DIAGONAL 75B N° 2A-80;dircalidad@lasamericas.com.co;3421010 extensión 1479;
Antioquia;MEDELLÍN;0500102144;HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;0500102144;01;HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;890904646;7;JURIDICO;4;Pública;1;Instituciones - IPS;SI;3;MUNICIPAL;SI;CAMAS;9;Cuidado Intensivo Adulto;43;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Gabriel Mauricio Vélez Giraldo;CARRERA 48 N° 32-102;msilva@hgm.gov.co;3847302;
Antioquia;MEDELLÍN;0500102172;CLINICA MEDELLIN S.A;0500102172;03;CLINICA MEDELLIN OCCIDENTE;890911816;1;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;24;03;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JORGE ALBERTO HENAO MONTOYA;Kr 65B #30-95;calidad@clinicamedellin.com;4446152;
Antioquia;MEDELLÍN;0500102175;FUNDACION HOSPITALARIA SAN VICENTE DE PAUL;0500102175;01;FUNDACION HOSPITALARIA SAN VICENTE DE PAUL;890900518;4;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;59;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;DIEGO JOSE DUQUE OSSA;CALLE 64 CON CARRERA 51 D;autorizaciones1@elhospital.org.co;4441333;
Antioquia;MEDELLÍN;0500103448;UNIVERSIDAD PONTIFICIA BOLIVARIANA;0500103448;03;CLINICA UNIVERSITARIA BOLIVARIANA;890902922;6;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;15;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;CARLOS ALBERTO RESTREPO MOLINA;KR 72 A # 78 B 50;clinica@upb.edu.co;5744455907;
Antioquia;MEDELLÍN;0500104260;ESTUDIOS E INVERSIONES  MEDICAS S A ESIMED S A ;0500104260;02;CLINICA ESIMED DE LA 80;800215908;8;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;12;02;;;0;;Fecha corte REPS: May 22 2020  2:16PM;MARTHA JEANNETTE NOY PALACIOS;KR 80 # 18 A 140;mjnoyp@hotmail.com;3157231110;
Antioquia;MEDELLÍN;0500104648;CLINICA DEL PRADO S.A.S;0500104648;02;CLINICA DEL PRADO CIUDAD DEL RIO;890938774;8;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;10;02;;;0;;Fecha corte REPS: May 22 2020  2:16PM;GUSTAVO RESTREPO NICHOLLS;CL  19 A # 44-25;gustavorn@clinicadelprado.com.co;5765700;
Antioquia;MEDELLÍN;0500105586;FUNDACION COLOMBIANA DE CANCEROLOGIA CLINICA VIDA;0500105586;03;CLÍNICA VIDA SEDE HOSPITALARIA;800241602;1;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;6;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;FRANCISCO JAVIER LOZANO OLAYA;CARRERA 50 A Nº 64-42;gerencia@clinicavida.com;4480016  EXT 3602;
Antioquia;MEDELLÍN;0500105909;INSTITUCIÓN PRESTADORA DE SERVICIOS DE SALUD "IPS UNIVERSITARIA";0500105909;03;IPS UNIVERSITARIA SEDE CLINICA LEON XIII;811016192;8;JURIDICO;3;Mixta;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;63;03;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Marta Cecilia Ramírez Orrego;KR 51 B # 69-13;ipsuniversitaria@ipsuniversitaria.com.co e ipsudea@une.net.co;4447085;
Antioquia;MEDELLÍN;0500106086;ESE HOSPITAL LA MARIA;0500106086;01;E.S.E. HOSPITAL LA MARIA;890905177;9;JURIDICO;4;Pública;1;Instituciones - IPS;SI;3;DEPARTAMENTAL;SI;CAMAS;9;Cuidado Intensivo Adulto;29;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;MISAEL ALBERTO CADAVID JARAMILLO;CL 92EE # 67-61  ;;2677511;
Antioquia;MEDELLÍN;0500109022;SUMIMEDICAL S.A.S;0500109022;23;CLINICA VICTORIANA;900033371;4;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;6;18;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JORGE LUIS ROCHA PATERNINA;Carrera 49 No. 58 19;sumimedicalips@hotmail.com;5201040;
Antioquia;MEDELLÍN;0500109099;PROMOTORA MEDICA Y ODONTOLOGICA DE ANTIOQUIA SA;0500109099;23;CLINICA CENTRAL FUNDADORES ;900038926;4;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;10;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;WILFER SANTIAGO GIRALDO GIRALDO ;Calle 53 N° 46-38 Piso 1,2,3,4,5,6,11,15;wgiraldo@promedan.com.co;4441117;
Antioquia;MEDELLÍN;0500111746;NUEVA CLINICA SAGRADO CORAZON S.A.S;0500111746;01;NUEVA CLINICA SAGRADO CORAZON S.A.S;900408220;1;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;12;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Natasha Molina Velez;CL 49 # 35 - 61;gerencia@clinicasagradocorazon.com.co;2151000;
Antioquia;RIONEGRO;0561502129;SOCIEDAD MÉDICA RIONEGRO S.A. SOMER S.A.;0561502129;01;SOCIEDAD MÉDICA RIONEGRO S.A. SOMER S.A.;890939936;9;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;14;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;RAMIRO DEL CARMEN POSADA AGUDELO;CALLE 38 N° 54A-35;gerencia@clinicasomer.com;5699999;
Antioquia;RIONEGRO;0561507672;SERVIUCIS S.A.S.;0561507672;01;SERVIUCIS S.A.S;811042050;0;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;9;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JUAN EDGAR MARIN RESTREPO;KR 48 # 56-59 PI 2;info@serviucis.com;5745310537;
Antioquia;RIONEGRO;0561512044;FUNDACION HOSPITAL SAN VICENTE DE PAUL RIONEGRO;0561512044;01;FUNDACIÓN HOSPITAL SAN VICENTE DE PAUL RIONEGRO ;900261353;9;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;34;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;DIANA MARIA MOLINA MONTOYA;VEREDA LA CONVENCION VIA AEROPUERTO LLANO GRANDE KM 2;diana.molina@sanvicentefundacion.com;4448717;
Arauca;ARAUCA;8100100077;ESE HOSPITAL SAN VICENTE DE ARAUCA;8100100077;01;HOSPITAL SAN VICENTE ESE;800218979;4;JURIDICO;4;Pública;1;Instituciones - IPS;SI;2;DEPARTAMENTAL;SI;CAMAS;9;Cuidado Intensivo Adulto;4;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JESUS ENRIQUE BALLESTEROS;CALLE 15 CRA 16 ESQUINA;contactenos@hospitalsanvicente.gov.co;8850030;
Atlántico;BARANOA;0807800030;IPS CLINICA  SANTA ANA DE BARANOA;0807800030;01;I.P.S CLINICA SANTA ANA DE BARANOA LTDA ;802001084;2;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;7;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;FLORENTINO GOENAGA OÑORO ;CALLE 18 N° 20 - 59 ;clinicasantaana_baranoa@hotmail.com;8787559;
Atlántico;BARANOA;0807802100;CLÍNICA REINA CATALINA BARANOA;0807802100;01;CLÍNICA REINA CATALINA BARANOA;800179966;0;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;5;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;REYNALDO BENITO PEREZ SANCHEZ;KM 1 FINCA LOS NAVARRITOS;info@clinicareinacatalina.com;3858117;
Atlántico;BARRANQUILLA;0800100037;ORGANIZACION CLINICA GENERAL DEL NORTE;0800100037;01;ORGANIZACIÓN CLINICA GENERAL DEL NORTE S.A;890102768;5;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;53;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;ROSMERY HERRERA CURE;CARRERA 48 # 70-38;cgeneral@clinicageneraldelnorte.com;3091999;
Atlántico;BARRANQUILLA;0800100118;CLINICA JALLER S.A.S.;0800100118;01;CLINICA JALLER S.A.S.;802016761;6;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;7;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Alfonso Jose Jaller Caballero;Calle 61 50-124;info@clinicajaller.com;3856084;
Atlántico;BARRANQUILLA;0800100278;CLINICA DE LA COSTA LTDA;0800100278;01;IPS CLINICA DE LA COSTA LTDA;800129856;5;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;12;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;GUSTAVO JOSÉ AROCA MARTINEZ;CARRERA 50 # 80-90;;;
Atlántico;BARRANQUILLA;0800100531;CLINICA MEDIESP S.A.S.;0800100531;01;CLINICA MEDIESP S.A.S;890117677;9;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;4;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Karen De La Hoz Tejeda;CRA 49C 84 - 141;gerencia@clinicamediesp.com.co;3092035;
Atlántico;BARRANQUILLA;0800100544;ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.;0800100544;01;ORGANIZACION CLINICA BONNADONA PREVENIR S.A.S.;800194798;2;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;33;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;CARLOS ALBERTO OSORIO CHACON;CARRERA 49 C NO 82-70;bonnadona@organizacioncbp.org;;
Atlántico;BARRANQUILLA;0800100789;IPS CLINICA REINA CATALINA S.A.S.;0800100789;01;CLINICA REINA CATALINA S.A.S.;800179966;0;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;38;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JAIME CALVO REBOLLEDO;CALLE 82 No 47-12;;;
Atlántico;BARRANQUILLA;0800101106;CLINICA LA ASUNCION;0800101106;01;CLINICA LA ASUNCION;890102140;0;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;14;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;FELIPE AGUIRRE ARIAS;CALLE 70B # 41-93;;;
Atlántico;BARRANQUILLA;0800101122;FUNDACION HOSPITAL UNIVERSITARIO METROPOLITANO;0800101122;01;FUNDACION HOSPITAL UNIVERSITARIO METROPOLITANO;890108597;1;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;8;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;ALBERTO ENRIQUE ACOSTA PEREZ;CARRERA 42F No.75B-18;gerenciafhum@gmail.com;3565109;
Atlántico;BARRANQUILLA;0800101224;CLINICAS ATENAS LTDA IPS;0800101224;01;CLINICAS ATENAS LTDA IPS;802013835;9;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;8;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;PEDRO FRANCISCO CELIA NIGRINIS;CALLE 80 No 49 C-10;;;
Atlántico;BARRANQUILLA;0800101232;CLINICA LA MERCED BARRANQUILLA SAS;0800101232;01;KATZWEINGORT Y CIA LTDA CLINICA LA MERCED;800094898;1;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;10;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;AIXA GARRIDO RIASCOS;CALLE 60 No 38-29;;;
Atlántico;BARRANQUILLA;0800101344;CLINICA ALTOS DE SAN VICENTE S.A.S.;0800101344;01;CLINICA ALTOS DE SAN VICENTE LTDA;802000774;1;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;4;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;WILLIAM DE JESUS DAZA SOTO;CARRERA 49C No. 86-46;wdaza@metrotel.net.co;3674400;
Atlántico;BARRANQUILLA;0800101344;CLINICA ALTOS DE SAN VICENTE S.A.S.;0800101344;03;CENTRO CARDIOVASCULAR CLINICA ALTOS DE SAN VICENTE ;802000774;1;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;9;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;WILLIAM DE JESUS DAZA SOTO;CARRERA 49C No.87-12;clinicaaltosdesanvicente@hotmail.com;3674400;
Atlántico;BARRANQUILLA;0800101937;CLINICA DEL CARIBE S.A.;0800101937;01;IPS CLINICA DEL CARIBE;890100275;7;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;8;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;LEONEL TARSICIO BLANCO BAHOQUE;CALLE 80 No 49 C-65;;;
Atlántico;BARRANQUILLA;0800102191;INSTITUTO DE TRASPLANTE DE MÉDULA OSEA DE LA COSTA IPS S.A.S;0800102191;04;INSTITUTO DE TRANSPLANTE DE MEDULA OSEA DE LA COSTA IPS S.A.S;802014132;4;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;3;04;;;0;;Fecha corte REPS: May 22 2020  2:16PM;PEDRO JOSE MENDOZA MARZOLA;CALLE 71 # 38-04;calidad@itcmedulaosea.com;3091691- 3205466577;
Atlántico;BARRANQUILLA;0800102355;CLINICA CENTRO S.A;0800102355;01;CLINICA CENTRO S.A;802021332;1;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;33;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;PABLO D LA CRUZ;CLLE 40 NO 41 - 110;clinicacentroips@hotmail.com;3720541 -44;
Atlántico;BARRANQUILLA;0800102457;MEDICINA ALTA COMPLEJIDAD S.A;0800102457;01;MEDICINA ALTA COMPLEJIDAD S.A.;802016357;3;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;2;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;JUAN GABRIEL ARCINIEGAS JIMENEZ;CRA 75 No  79B - 50;info@macsa.co;3732696;
Atlántico;BARRANQUILLA;0800102477;FUNDACION CAMPBELL ;0800102477;01;FUNDACION CAMPBELL ;900002780;0;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;5;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;SINDY PAOLA JASSIN MOLINAREZ;CALLE 31 No.14- 82;fundacioncampbell@clinicacampbell.com.co;3809053;
Atlántico;BARRANQUILLA;0800102835;CLINICA MURILLO - INVERCLINICAS  S.A.;0800102835;01;CLINICA MURILLO - INVERCLINICAS  S.A.;802020128;9;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;7;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;sara xiomara angulo coronel;CLL  45 # 20 - 77;;3092138;
Atlántico;BARRANQUILLA;0800103126;DISAMA MEDIC S.A.S.;0800103126;01;DISAMA MEDIC S.A.S.;900174577;9;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;15;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;Shadia Habib  Posada;CALLA 80 No. 46-44;disama_calidad@clinicalamisericordia.com;3681230;
Atlántico;BARRANQUILLA;0800103229;CLINICA VIDA IPS S.A.S.;0800103229;01;CLINICA VIDA IPS S.A.S;819000545;3;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;10;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;ZADY PIEDRAHITA BRUN;CALLE 110 No.4-10;gerencia@clinicavidaips.com -  calidad@clinicavidaips.com;3286174  - 3285720;
Atlántico;BARRANQUILLA;0800103250;CLINICA SAN MARTIN BARRANQUILLA LTDA;0800103250;01;CLINICA SAN MARTIN BARRANQUILLA LTDA;900164285;0;JURIDICO;1;Privada;1;Instituciones - IPS;NO; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;8;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;ASTOR ANTONIO AGUIRRE ACUÑA;CARRERA 43   70-106;calidad@csmbq.com;3692700;
Atlántico;BARRANQUILLA;0800103473;CLINICA LA VICTORIA S.A.S.;0800103473;01;CLINICA LA VICTORIA S.A.S.;900431550;3;JURIDICO;1;Privada;1;Instituciones - IPS;  ; ;;SI;CAMAS;9;Cuidado Intensivo Adulto;6;01;;;0;;Fecha corte REPS: May 22 2020  2:16PM;LIZBETH ZULAY REDONDO GRAVIER;CALLE 45 No.14-98;calidad@clinicalavictoria.co;3175136563;
